,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Company Type,Status
381,N/A,N/A,orcl,N/A,N/A,N/A,N/A,N/A,N/A,21.58,5.40,3.70,25.35,35.17,6.56,18.64,9.29,207050000000.0,188870000000.0,15.60,1.90,4.93,12.68,4.93,30260000000.0,12.68,N/A,2.30,20.60,6.90,66900000000.00001,16.03,53290000000.0,3.63,13.42,14820000000.0,1.08,27.07,59.21,N/A,1.84,1.07,N/A,Information Technology,status
382,N/A,N/A,orly,N/A,N/A,N/A,N/A,N/A,N/A,20.53,2.35,23.73,12.23,19.57,14.74,83.79,94.60,20630000000.0,23370000000.0,17.84,1.36,2.66,12.02,2.66,4510000000.0,12.02,N/A,11.42,9.70,5.20,26530000.0,0.3,2600000000.0,0.92,9.88,1340000000.0,0.70,2.16,90.49,N/A,1.4,5.06,N/A,Consumer Discretionary,status
383,N/A,N/A,oxy,N/A,N/A,N/A,N/A,N/A,N/A,494.65,4.69,2.55,0.97,3.34,0.57,0.54,14.98,53750000000.0,61050000000.0,44.74,1.08,5.33,16.62,5.33,4900000000.0,16.62,N/A,0.14,2220000000.0,20.90,2220000000.0,2.9,9820000000.0,1.26,27.51,4070000000.0000005,0.22,0.32,83.84,N/A,2.79,1.87,N/A,Energy,status
384,N/A,N/A,p,N/A,N/A,N/A,N/A,N/A,N/A,15.90,0.83,5.40,38.89,24.43,20.05,110.10,6.08,1190000000.0,1280000000.0,15.90,0.39,0.89,4.45,0.89,489900000.0,4.45,N/A,2.43,227640000.0,9.90,227640000.0,0.94,352160000.0,3.02,0.88,262540000.00000003,0.87,1.32,17.64,N/A,6.2,39.92,N/A,Energy,status
385,N/A,N/A,payx,N/A,N/A,N/A,N/A,N/A,N/A,29.33,7.55,12.35,26.01,39.64,11.50,42.10,8.86,24030000000.0,23850000000.0,26.02,3.35,7.49,17.15,7.49,3150000000.0,17.15,N/A,2.28,4.80,4.00,368200000.0,1.03,57200000.0,1.10,5.42,1010000000.0,0.98,10.83,71.49,N/A,4.77,3.69,N/A,Information Technology,status
386,N/A,N/A,pbct,N/A,N/A,N/A,N/A,N/A,N/A,21.15,4.80,1.17,21.65,37.53,0.70,5.50,4.27,6420000000.0,10690000000.0,16.59,5.12,7.99,21.65,7.99,280100000.0,21.65,N/A,0.89,1.20,14.10,787400000.0,2.33,5060000000.0,16.18,16.18,401300000.0,0.97,0.64,78.69,N/A,9.01,10.10,N/A,Financials,status
387,N/A,N/A,pbi,N/A,N/A,N/A,N/A,N/A,N/A,20.20,0.57,66.32,2.81,15.87,5.59,52.45,18.19,1920000000.0,4490000000.0,7.29,1.92,1.33,6.28,1.33,1890000000.0,6.28,N/A,0.51,8.70,1.70,1010000000.0,5.39,3530000000.0,0.95,0.16,516760000.0,0.71,0.50,76.62,N/A,6.51,6.06,N/A,Financials,status
388,N/A,N/A,pcar,N/A,N/A,N/A,N/A,N/A,N/A,18.64,1.42,3.26,7.64,10.88,5.40,18.55,49.12,24490000000.0,30320000000.0,14.95,2.04,1.76,12.87,1.76,3090000000.0,12.87,N/A,3.74,22.50,6.60,8.55,8.55,8620000000.0,4.88,21.35,1840000000.0,1.11,2.10,64.27,N/A,0.00,0.00,N/A,Industrials,status
389,N/A,N/A,pcg,N/A,N/A,N/A,N/A,N/A,N/A,13.35,1.54,1.49,11.43,20.77,3.44,11.49,35.62,27850000000.0,46130000000.0,14.17,7.09,2.56,7.06,2.56,4930000000.0,7.06,N/A,4.06,97.10,1.90,0.35,0.35,18500000000.0,0.87,36.39,5350000000.0,0.12,0.17,84.91,N/A,2.29,1.13,N/A,Utilities,status
390,N/A,N/A,pcl,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Utilities,status
391,N/A,N/A,pcln,N/A,N/A,N/A,N/A,N/A,N/A,36.86,7.37,7.35,20.51,34.97,11.64,22.58,233.10,84630000000.0,87480000000.0,20.81,1.49,7.62,20.14,7.62,10310000000.0,20.14,N/A,47.08,24.00,18.30,6360000000.0,129.56,8490000000.0,2.20,236.25,4160000000.0,1.59,0.24,96.41,N/A,4.72,4.13,N/A,Consumer Discretionary,status
392,N/A,N/A,pcp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Discretionary,status
393,N/A,N/A,pdco,N/A,N/A,N/A,N/A,N/A,N/A,20.58,0.60,2.39,2.93,5.67,5.64,11.83,58.97,3310000000.0,4530000000.0,15.67,2.27,0.81,11.31,0.81,1300000000.0,11.31,N/A,1.72,20.70,2.10,99780000.0,1.07,1180000000.0,2.01,14.83,189470000.0,0.97,14.25,96.82,N/A,11.42,15.53,N/A,Health Care,status
394,N/A,N/A,peg,N/A,N/A,N/A,N/A,N/A,N/A,59.63,2.90,2.07,4.88,26.32,3.83,3.44,18.35,26860000000.0,38940000000.0,17.93,12.32,4.20,10.82,4.20,3050000000.0,10.82,N/A,0.89,41.70,12.00,0.85,0.85,12520000000.0,1.01,25.58,3340000000.0,0.19,0.20,71.03,N/A,0.00,0.00,N/A,Utilities,status
395,N/A,N/A,pep,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Staples,status
396,N/A,N/A,petm,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Staples,status
397,N/A,N/A,pets,N/A,N/A,N/A,N/A,N/A,N/A,30.26,3.13,8.06,10.34,16.19,23.01,28.59,12.65,801280000.0,729810000.0,22.74,2.44,2.85,16.89,2.85,79310000.0,16.89,N/A,1.30,40.70,9.90,68530000.0,3.38,3.71,3.71,4.88,47990000.0,0.46,4.08,99.57,N/A,4.22,18.53,N/A,Consumer Staples,status
398,N/A,N/A,pfe,N/A,N/A,N/A,N/A,N/A,N/A,26.59,4.14,3.71,15.90,27.33,5.27,13.68,8.69,216670000000.0,245700000000.0,13.22,2.34,4.69,12.14,4.69,40490000000.0,12.14,N/A,1.37,50.10,1.90,14440000000.0,2.43,43870000000.0,1.34,9.81,15330000000.0,1.07,0.03,72.25,N/A,2.37,0.69,N/A,Health Care,status
399,N/A,N/A,pfg,N/A,N/A,N/A,N/A,N/A,N/A,16.03,1.62,1.82,10.23,13.48,0.46,12.00,43.56,20360000000.0,19580000000.0,12.59,1.36,1.56,10.41,1.56,5480000000.0,10.41,N/A,4.40,4.00,5.00,4040000000.0,13.98,3250000000.0,2.66,38.70,3560000000.0,1.51,0.67,69.77,N/A,3.03,1.35,N/A,Financials,status
400,N/A,N/A,pg,N/A,N/A,N/A,N/A,N/A,N/A,16.16,3.52,4.26,23.56,22.57,7.41,17.92,25.04,229240000000.0,248250000000.0,20.31,3.27,3.82,14.18,3.82,32520000000.000004,14.18,N/A,5.59,15140000000.0,32520000000.000004,15140000000.0,5.94,31590000000.0,0.88,21.22,12750000000.0,0.47,0.06,61.23,N/A,4.51,1.04,N/A,Consumer Staples,status
401,N/A,N/A,pgr,N/A,N/A,N/A,N/A,N/A,N/A,22.81,1.25,3.46,5.50,8.59,3.90,15.81,43.01,31170000000.0,30390000000.0,18.81,0.96,1.22,12.82,1.22,1730000000.0,12.82,N/A,2.35,92.60,13.50,3890000000.0,6.7,3380000000.0,1.00,15.48,3170000000.0,0.82,0.56,80.92,N/A,2.31,1.26,N/A,Financials,status
402,N/A,N/A,ph,N/A,N/A,N/A,N/A,N/A,N/A,25.80,2.07,4.73,8.18,11.99,6.55,19.99,90.19,24920000000.0,29480000000.0,17.65,1.36,2.45,16.41,2.45,2840000000.0,16.41,N/A,7.25,21.30,18.20,924200000.0,6.94,5870000000.0,1.41,39.50,1300000000.0,1.24,0.35,82.10,N/A,1.99,1.47,N/A,Industrials,status
403,N/A,N/A,phm,N/A,N/A,N/A,N/A,N/A,N/A,18.78,1.23,2.32,7.34,13.03,6.82,12.83,24.96,9980000000.0,13370000000.0,12.25,0.83,1.65,12.08,1.65,1940000000.0,12.08,N/A,1.81,14.40,12.30,218160000.0,0.72,3290000000.0,4.27,14.63,564700000.0,0.91,8.32,89.29,N/A,3.74,6.67,N/A,Consumer Discretionary,status
404,N/A,N/A,pki,N/A,N/A,N/A,N/A,N/A,N/A,22.05,3.76,3.30,17.07,14.79,4.50,9.50,19.57,8060000000.000001,8600000000.0,21.07,2.27,4.01,20.66,4.01,1010000000.0,20.66,N/A,3.32,219.60,2.00,616310000.0,5.59,1090000000.0,2.43,22.13,324190000.0,1.06,0.90,95.90,N/A,4.31,2.54,N/A,Health Care,status
405,N/A,N/A,pld,N/A,N/A,N/A,N/A,N/A,N/A,19.84,12.63,2.36,63.50,34.81,2.03,10.25,5.32,35680000000.0,46150000000.0,12.63,12.63,16.34,24.38,16.34,1960000000.0,24.38,N/A,3.34,212.50,19.70,568730000.0,1.03,9720000000.0,0.41,28.05,0.92,0.92,0.87,98.43,N/A,2.44,1.70,N/A,Real Estate,status
406,N/A,N/A,pll,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Real Estate,status
407,N/A,N/A,pm,N/A,N/A,N/A,N/A,N/A,N/A,22.98,5.98,6.87,26.06,39.75,18.22,26930000000.0,17.36,161080000000.0,185030000000.0,19.57,2.22,6.87,16.09,6.87,17290000000.0,16.09,N/A,4.51,0.40,4.00,6200000000.0,3.99,31750000000.0,1.07,7.73,9310000000.0,0.81,0.18,75.38,N/A,2.29,0.53,N/A,Consumer Staples,status
408,N/A,N/A,pnc,N/A,N/A,N/A,N/A,N/A,N/A,17.24,4.31,1.45,27.53,37.16,1.17,9.31,32.13,67090000000.0,119530000000.0,15.06,1.62,7.68,27.53,7.68,4010000000.0,27.53,N/A,8.18,12.80,6.80,5150000000.0,10.82,57560000000.0,97.45,97.45,0.99,0.99,0.22,83.50,N/A,3.12,1.27,N/A,Financials,status
409,N/A,N/A,pnr,N/A,N/A,N/A,N/A,N/A,N/A,20.66,2.63,2.60,12.86,15.57,4.62,8.29,26.66,12750000000.0,14260000000.0,17.86,1.81,2.94,15.26,2.94,1790000000.0,15.26,N/A,3.40,84.70,2.80,177800000.0,0.98,1700000000.0,1.67,27.02,647200000.0,1.42,0.47,90.14,N/A,3.55,1.67,N/A,Industrials,status
410,N/A,N/A,pnw,N/A,N/A,N/A,N/A,N/A,N/A,20.10,2.88,2.09,14.37,26.97,3.69,10.85,31.61,10170000000.0,15120000000.0,20.68,3.95,4.29,9.91,4.29,1510000000.0,9.91,N/A,4.53,38.00,3.20,4950000.0,0.04,4880000000.0,0.65,43.53,891480000.0,0.01,1.17,84.62,N/A,4.1,2.88,N/A,Utilities,status
411,N/A,N/A,pom,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,Utilities,status
412,N/A,N/A,ppg,N/A,N/A,N/A,N/A,N/A,N/A,30.50,1.99,5.28,6.70,14.07,7.63,13.40,56.98,29500000000.0,32729999999.999996,17.46,2.07,2.20,12.80,2.20,6690000000.0,12.80,N/A,3.80,35.40,0.60,1620000000.0,6.32,4620000000.0,1.61,21.95,1770000000.0,1.67,0.42,77.09,N/A,3.31,1.75,N/A,Materials,status
413,N/A,N/A,ppl,N/A,N/A,N/A,N/A,N/A,N/A,15.18,3.38,2.37,22.08,40.53,4.71,15.69,10.87,24970000000.0,45080000000.0,15.57,563.33,6.09,11.16,6.09,6020000000.0,11.16,N/A,2.39,39.50,3.40,0.68,0.68,20670000000.0,0.50,15.30,2510000000.0,0.36,0.28,49.53,N/A,2.59,1.40,N/A,Utilities,status
414,N/A,N/A,prgo,N/A,N/A,N/A,N/A,N/A,N/A,16.17,2.44,2.04,58.66,12.92,2.70,38.96,35.05,12250000000.0,15340000000.0,16.17,2.48,3.05,13.90,3.05,2049999999.9999998,13.90,N/A,20.57,774400000.0,7.70,774400000.0,5.43,3670000000.0,1.73,42.65,710500000.0,0.66,0.51,86.97,N/A,7.3,11.61,N/A,Health Care,status
415,N/A,N/A,pru,N/A,N/A,N/A,N/A,N/A,N/A,12.88,0.83,1.02,6.70,12.01,0.55,7.69,137.43,49010000000.0,34640000000.0,10.16,1.38,0.58,4.87,0.58,23270000000.0,4.87,N/A,8.96,46.70,4.60,49070000000.0,114.91,34430000000.0,1.19,113.44,5960000000.0,1.60,0.18,68.88,N/A,2.12,1.03,N/A,Financials,status
416,N/A,N/A,psa,N/A,N/A,N/A,N/A,N/A,N/A,30.25,13.69,7.44,54.78,54.99,9.10,15.72,15.56,36910000000.0,40180000000.0,27.83,1.80,14.90,20.87,14.90,1890000000.0,20.87,N/A,7.01,0.80,6.20,358270000.0,2.06,420780000.0,1.11,28.51,1950000000.0,0.37,14.44,82.41,N/A,0.00,0.00,N/A,Real Estate,status
417,N/A,N/A,psx,N/A,N/A,N/A,N/A,N/A,N/A,29.20,0.63,2.23,2.22,1.24,1.20,7.83,151.61,49910000000.0,57710000000.0,15.59,3.09,0.73,26.09,0.73,17540000000.0,26.09,N/A,3.34,10.90,13.60,2160000000.0,4.22,9960000000.0,1.40,43.73,2870000000.0,0.87,0.14,72.51,N/A,1.91,1.91,N/A,Energy,status
418,N/A,N/A,pvtb,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Energy,status
419,N/A,N/A,pwr,N/A,N/A,N/A,N/A,N/A,N/A,21.26,0.68,1.63,3.21,5.31,5.12,8.21,55.02,5800000000.0,6270000000.0,15.20,0.79,0.74,9.57,0.74,1010000000.0,9.57,N/A,1.76,285.40,22.80,99560000.0,0.64,485010000.0,2.04,23.00,107650000.0,0.71,0.99,89.22,N/A,3.62,3.95,N/A,Industrials,status
420,N/A,N/A,px,N/A,N/A,N/A,N/A,N/A,N/A,28.44,3.98,7.48,14.10,21.87,7.51,26.83,38.22,43480000000.0,52270000000.0,3.98,3.98,4.79,14.78,4.79,4670000000.0,14.78,N/A,5.34,1.80,6.30,1.87,1.87,9370000000.0,1.02,20.30,2920000000.0,1.15,0.25,87.91,N/A,3.77,1.50,N/A,Materials,status
421,N/A,N/A,pxd,N/A,N/A,N/A,N/A,N/A,N/A,158.59,5.47,2.52,3.48,6.97,1.29,1.62,28.84,26740000000.0,26240000000.0,52.04,28.33,5.37,14.66,5.37,1770000000.0,14.66,N/A,0.99,2200000000.0,27.50,2200000000.0,12.96,2730000000.0,1.97,62.30,1820000000.0,0.90,0.83,93.07,N/A,2.95,2.86,N/A,Energy,status
422,N/A,N/A,qcom,N/A,N/A,N/A,N/A,N/A,N/A,25.08,4.28,3.09,17.26,25.46,6.24,12.58,15.28,96540000000.0,98960000000.0,17.28,1.78,4.38,13.85,4.38,12500000000.0,13.85,N/A,2.61,40.00,11.10,20860000000.0,14.13,21900000000.0,2.95,21.20,4360000000.0,1.46,0.12,78.46,N/A,2.82,1.67,N/A,Information Technology,status
423,N/A,N/A,qdel,N/A,N/A,N/A,N/A,N/A,N/A,27.00,6.22,6.15,0.03,8.32,2.90,0.04,6.47,1330000000.0,1250000000.0,27.00,10.00,5.82,31.65,5.82,118190000.0,31.65,N/A,0.00,175050000.0,2.20,175050000.0,5.24,151110000.0,7.19,6.36,38280000.0,1.66,17.03,95.79,N/A,18.00,18.00,N/A,Information Technology,status
424,N/A,N/A,qep,N/A,N/A,N/A,N/A,N/A,N/A,57.44,1.57,0.68,3.90,0.42,0.06,1.69,6.61,2490000000.0,4070000000.0000005,57.44,1.17,2.57,4.95,2.57,752700000.0,4.95,N/A,0.26,178800000.0,15.00,178800000.0,0.74,2020000000.0,0.82,15.11,739300000.0,1.94,0.75,94.95,N/A,3.27,6.59,N/A,Information Technology,status
425,N/A,N/A,r,N/A,N/A,N/A,N/A,N/A,N/A,19.83,0.62,2.07,3.17,8.22,3.23,10.79,132.27,4360000000.0,9700000000.0,15.66,1.22,1.39,5.34,1.39,1500000000.0,5.34,N/A,4.15,31.10,5.30,55360000.0,1.04,5380000000.0,0.73,39.75,1570000000.0,1.38,1.87,91.36,N/A,0.00,0.00,N/A,Information Technology,status
426,N/A,N/A,rai,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,Information Technology,status
427,N/A,N/A,rdc,N/A,N/A,N/A,N/A,N/A,N/A,6.33,1.34,0.36,2.62,15.62,1.63,0.71,11.34,1910000000.0,3140000000.0,6.33,5.14,2.20,5.01,2.20,1060000000.0,5.01,N/A,0.30,1150000000.0,47.70,1150000000.0,9.07,2520000000.0,5.00,42.08,645900000.0,2.32,0.56,111.02,N/A,4.74,21.54,N/A,Information Technology,status
428,N/A,N/A,rf,N/A,N/A,N/A,N/A,N/A,N/A,17.40,3.55,1.24,22.68,32.82,0.98,7.14,4.45,19310000000.0,25320000000.0,14.73,1.43,4.66,22.68,4.66,1160000000.0,22.68,N/A,0.96,14.90,3.70,2510000000.0,2.1,8029999999.999999,13.40,13.40,1960000000.0,1.54,0.45,78.39,N/A,1.98,3.16,N/A,Financials,status
429,N/A,N/A,rhi,N/A,N/A,N/A,N/A,N/A,N/A,21.74,1.33,6.33,6.29,10.12,18.17,30.10,41.24,6910000000.0,6690000000.0,19.68,5.33,1.29,11.31,1.29,2160000000.0,11.31,N/A,2.58,12.30,2.70,297800000.0,2.39,0.08,1.87,8.86,492950000.0,1.31,3.45,88.61,N/A,3.93,3.12,N/A,Industrials,status
430,N/A,N/A,rht,N/A,N/A,N/A,N/A,N/A,N/A,74.96,8.38,15.83,11.49,15.14,5.73,22.35,14.86,22160000000.0,21260000000.0,38.19,2.60,8.04,43.41,8.04,2060000000.0,43.41,N/A,1.67,64.80,20.60,1660000000.0,9.38,756740000.0,1.30,7.91,855390000.0,1.46,0.51,96.37,N/A,0.00,0.00,N/A,Information Technology,status
431,N/A,N/A,rl,N/A,N/A,N/A,N/A,N/A,N/A,16.83,1.21,2.31,0.27,10.63,7.18,0.50,78.37,7770000000.0,7100000000.0,16.83,5.37,1.10,7.19,1.10,3650000000.0,7.19,N/A,0.21,1570000000.0,13.20,1570000000.0,19.33,898400000.0,2.54,41.33,1040000000.0,0.15,1.31,104.18,N/A,3.12,11.33,N/A,Consumer Discretionary,status
432,N/A,N/A,rok,N/A,N/A,N/A,N/A,N/A,N/A,30.71,3.96,11.22,13.04,17.24,9.47,37.51,48.09,24470000000.0,24010000000.0,23.06,2.28,3.88,19.66,3.88,2620000000.0,19.66,N/A,6.20,13.60,8.50,2610000000.0,20.37,1840000000.0,2.03,16.97,1200000000.0,1.16,0.51,76.18,N/A,3.78,2.28,N/A,Industrials,status
433,N/A,N/A,rop,N/A,N/A,N/A,N/A,N/A,N/A,39.02,6.39,4.30,16.44,26.75,5.70,11.69,41.07,26680000000.0,31790000000.0,25.70,1.91,7.61,22.53,7.61,2330000000.0,22.53,N/A,6.68,13.60,21.80,663340000.0,6.49,5640000000.0,1.13,60.66,1140000000.0,1.34,2.03,97.24,N/A,4.58,2.28,N/A,Industrials,status
434,N/A,N/A,rost,N/A,N/A,N/A,N/A,N/A,N/A,25.01,2.19,10.28,8.87,14.11,21.96,43.37,34.44,29200000000.0,28450000000.0,21.15,2.32,2.13,13.01,2.13,3690000000.0,13.01,N/A,3.03,12.30,7.90,1150000000.0,2.98,396730000.0,1.64,7.36,1580000000.0,0.89,2.09,93.79,N/A,3.82,3.92,N/A,Consumer Discretionary,status
435,N/A,N/A,rrc,N/A,N/A,N/A,N/A,N/A,N/A,125.00,2.23,0.80,1.83,15.25,2.14,0.91,8.85,4520000000.0,8240000000.0,29.37,1.73,4.07,9.01,4.07,530159999.99999994,9.01,N/A,0.15,3850000000.0,112.40,3850000000.0,3850000000.0,3850000000.0,0.60,23.20,625200000.0,0.78,1.07,104.73,N/A,4.1,10.42,N/A,Energy,status
436,N/A,N/A,rsg,N/A,N/A,N/A,N/A,N/A,N/A,32.97,2.21,2.82,6.86,16.87,4.94,8.64,28.54,21460000000.0,29370000000.0,24.99,2.62,3.03,10.79,3.03,3620000000.0,10.79,N/A,1.95,12.20,7.50,0.11,0.11,7780000000.0,0.51,22.74,1880000000.0,0.55,0.14,95.54,N/A,3.61,1.65,N/A,Industrials,status
437,N/A,N/A,rsh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Industrials,status
438,N/A,N/A,rtn,N/A,N/A,N/A,N/A,N/A,N/A,25.81,2.20,5.01,8.67,13.23,6.84,19.24,84.71,54030000000.0,56710000000.0,22.54,2.70,2.31,15.30,2.31,6120000000.0,15.30,N/A,7.24,22.90,4.20,2580000000.0,8.88,5050000000.0,1.66,37.28,2520000000.0,0.73,0.17,75.27,N/A,0.00,0.00,N/A,Industrials,status
439,N/A,N/A,s,N/A,N/A,N/A,N/A,N/A,N/A,0.71,0.71,1.25,2.08,7.66,1.96,3.62,8.40,23880000000.0,56620000000.0,0.71,0.71,1.69,5.24,1.69,18410000000.0,5.24,N/A,0.17,6830000000.0,1.80,6830000000.0,1.71,39580000000.0,1.08,4.76,4910000000.0,0.78,0.15,23.63,N/A,7.17,16.65,N/A,Industrials,status
440,N/A,N/A,sai,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Industrials,status
441,N/A,N/A,sbux,N/A,N/A,N/A,N/A,N/A,N/A,28.93,3.64,14.18,12.93,18.23,18.00,50.07,15.39,81550000000.0,83690000000.0,21.63,1.77,3.74,16.27,3.74,13350000000.0,16.27,N/A,1.98,8.30,8.10,3010000000.0,2.08,3940000000.0,1.37,4.04,4400000000.0,0.61,2.83,74.87,N/A,1.98,1.53,N/A,Consumer Discretionary,status
442,N/A,N/A,scg,N/A,N/A,N/A,N/A,N/A,N/A,10.45,1.46,1.08,14.02,27.00,3.97,10.63,30.25,6310000000.0,14310000000.0,14.75,1.88,3.31,8.87,3.31,1780000000.0,8.87,N/A,4.24,15.20,10.60,0.64,0.64,7970000000.0,0.54,40.85,1320000000.0,0.14,8.25,68.44,N/A,6.03,3.75,N/A,Utilities,status
443,N/A,N/A,schl,N/A,N/A,N/A,N/A,N/A,N/A,28.03,0.88,1.11,1.71,4.86,2.83,2.30,47.22,1450000000.0,1130000000.0,26.65,4.03,0.69,10.60,0.69,927100000.0,10.60,N/A,1.47,311900000.0,33.10,311900000.0,8.91,0.96,2.12,37.33,154500000.0,0.76,11.06,88.09,N/A,10.05,3.64,N/A,Utilities,status
444,N/A,N/A,schw,N/A,N/A,N/A,N/A,N/A,N/A,31.53,7.95,3.68,27.30,42.18,1.04,13.62,6.25,66360000000.0,58680000000.0,25.13,1.46,7.03,27.30,7.03,7480000000.0,27.30,N/A,1.57,22.90,13.10,15900000000.0,11.88,8300000000.000001,0.25,13.44,1.97,1.97,11.57,80.63,N/A,2.7,1.60,N/A,Financials,status
445,N/A,N/A,sd,N/A,N/A,N/A,N/A,N/A,N/A,1.89,1.72,0.75,536.12,23.38,3.25,374960000.0,1.87,645300000.0,528340000.00000006,14.75,2.36,1.41,2.33,1.41,237660000.0,2.33,N/A,10.01,154700000.0,15.50,154700000.0,4.53,37680000.0,1.28,25.28,196490000.0,24.38,8.23,102.99,N/A,5.34,8.54,N/A,Financials,status
446,N/A,N/A,se,N/A,N/A,N/A,N/A,N/A,N/A,7.02,5.57,5.57,80.73,74.78,374480000.0,374480000.0,2.16,2089999999.9999998,2089999999.9999998,7.02,2.56,5.57,8.61,5.57,242260000.0,8.61,N/A,1.75,651060000.0,12.70,651060000.0,3.58,626740000.0,2.60,1.53,209770000.0,20.09,0.00,2.04,N/A,3.93,1.74,N/A,Financials,status
447,N/A,N/A,see,N/A,N/A,N/A,N/A,N/A,N/A,24.67,1.26,26.72,5.54,12.42,7.00,83.02,35.41,8610000000.0,13200000000.0,19.49,2.68,1.93,12.39,1.93,2530000000.0,12.39,N/A,1.93,77.00,3.00,1.28,1.28,4450000000.0,1.45,1.79,861300000.0,0.93,0.89,96.37,N/A,4.08,3.49,N/A,Materials,status
448,N/A,N/A,sfly,N/A,N/A,N/A,N/A,N/A,N/A,271.04,1.27,2.96,0.50,4.54,3.22,1.15,34.08,1460000000.0,1710000000.0,32.21,2.84,1.49,12.28,1.49,568110000.0,12.28,N/A,0.16,170630000.0,2.50,170630000.0,5.11,396080000.0,0.70,15.01,200400000.0,1.06,0.99,116.86,N/A,6.14,15.61,N/A,Materials,status
449,N/A,N/A,shld,N/A,N/A,N/A,N/A,N/A,N/A,0.46,0.02,0.22,6.90,7.18,9.35,19750000000.0,184.38,416470000.0,4440000000.0,0.46,0.00,0.22,4.07,0.22,4690000000.0,4.07,N/A,12.72,1.97,22.90,1.97,1.97,4230000000.0000005,0.92,34.12,1880000000.0,0.38,36.67,56.51,N/A,7.54,60.59,N/A,Materials,status
